cluster,size,surface_type_distribution,quality_distribution,top_surface_type,top_quality,examples
0,1989,"{""asphalt"": 0.004, ""concrete"": 0.0126, ""paving_stones"": 0.9563, ""sett"": 0.0266, ""unpaved"": 0.0005}","{""1"": 0.1835, ""2"": 0.5143, ""3"": 0.2675, ""4"": 0.0347}",paving_stones,2,"[""data/raw/streetsurfacevis/s_1024/1007047186907473.jpg"", ""data/raw/streetsurfacevis/s_1024/1007416500028468.jpg"", ""data/raw/streetsurfacevis/s_1024/1015866312652986.jpg"", ""data/raw/streetsurfacevis/s_1024/1017666249120605.jpg"", ""data/raw/streetsurfacevis/s_1024/1019905076035678.jpg""]"
1,894,"{""asphalt"": 0.0727, ""concrete"": 0.9195, ""paving_stones"": 0.0045, ""unpaved"": 0.0034}","{""1"": 0.3031, ""2"": 0.3635, ""3"": 0.2718, ""4"": 0.0615}",concrete,2,"[""data/raw/streetsurfacevis/s_1024/1000927687276860.jpg"", ""data/raw/streetsurfacevis/s_1024/1001712924422413.jpg"", ""data/raw/streetsurfacevis/s_1024/1004846316926785.jpg"", ""data/raw/streetsurfacevis/s_1024/1005023573994774.jpg"", ""data/raw/streetsurfacevis/s_1024/1005080053540184.jpg""]"
2,976,"{""asphalt"": 0.0482, ""concrete"": 0.0092, ""paving_stones"": 0.002, ""unpaved"": 0.9406}","{""1"": 0.0072, ""2"": 0.0174, ""3"": 0.3227, ""4"": 0.3586, ""5"": 0.2941}",unpaved,4,"[""data/raw/streetsurfacevis/s_1024/1001349260556407.jpg"", ""data/raw/streetsurfacevis/s_1024/1009829936396350.jpg"", ""data/raw/streetsurfacevis/s_1024/1015080322565099.jpg"", ""data/raw/streetsurfacevis/s_1024/1015672775631247.jpg"", ""data/raw/streetsurfacevis/s_1024/1015823332898174.jpg""]"
3,1299,"{""asphalt"": 0.0062, ""paving_stones"": 0.0108, ""sett"": 0.9823, ""unpaved"": 0.0008}","{""2"": 0.077, ""3"": 0.5166, ""4"": 0.4065}",sett,3,"[""data/raw/streetsurfacevis/s_1024/1003958393553079.jpg"", ""data/raw/streetsurfacevis/s_1024/1006550843268016.jpg"", ""data/raw/streetsurfacevis/s_1024/100672902913764.jpg"", ""data/raw/streetsurfacevis/s_1024/1008262863360384.jpg"", ""data/raw/streetsurfacevis/s_1024/1010095769830403.jpg""]"
4,3188,"{""asphalt"": 0.9649, ""concrete"": 0.0314, ""paving_stones"": 0.0006, ""sett"": 0.0006, ""unpaved"": 0.0025}","{""1"": 0.2566, ""2"": 0.4388, ""3"": 0.2327, ""4"": 0.0718}",asphalt,2,"[""data/raw/streetsurfacevis/s_1024/1001419624308587.jpg"", ""data/raw/streetsurfacevis/s_1024/1001853784055707.jpg"", ""data/raw/streetsurfacevis/s_1024/1002131400702235.jpg"", ""data/raw/streetsurfacevis/s_1024/1002484893825364.jpg"", ""data/raw/streetsurfacevis/s_1024/1002859683992939.jpg""]"
