cluster,size,surface_type_distribution,quality_distribution,top_surface_type,top_quality,examples
0,1933,"{""asphalt"": 0.0031, ""concrete"": 0.0098, ""paving_stones"": 0.9669, ""sett"": 0.0197, ""unpaved"": 0.0005}","{""1"": 0.1868, ""2"": 0.5184, ""3"": 0.2613, ""4"": 0.0336}",paving_stones,2,"[""data/raw/streetsurfacevis/s_1024/1007047186907473.jpg"", ""data/raw/streetsurfacevis/s_1024/1007416500028468.jpg"", ""data/raw/streetsurfacevis/s_1024/1015866312652986.jpg"", ""data/raw/streetsurfacevis/s_1024/1017666249120605.jpg"", ""data/raw/streetsurfacevis/s_1024/1018274012143479.jpg""]"
1,3266,"{""asphalt"": 0.9525, ""concrete"": 0.0349, ""paving_stones"": 0.0018, ""sett"": 0.0006, ""unpaved"": 0.0101}","{""1"": 0.256, ""2"": 0.4351, ""3"": 0.2348, ""4"": 0.0741}",asphalt,2,"[""data/raw/streetsurfacevis/s_1024/1001419624308587.jpg"", ""data/raw/streetsurfacevis/s_1024/1001853784055707.jpg"", ""data/raw/streetsurfacevis/s_1024/1002131400702235.jpg"", ""data/raw/streetsurfacevis/s_1024/1002484893825364.jpg"", ""data/raw/streetsurfacevis/s_1024/1002859683992939.jpg""]"
2,898,"{""asphalt"": 0.0791, ""concrete"": 0.9109, ""paving_stones"": 0.0067, ""unpaved"": 0.0033}","{""1"": 0.294, ""2"": 0.3586, ""3"": 0.2862, ""4"": 0.0612}",concrete,2,"[""data/raw/streetsurfacevis/s_1024/1000927687276860.jpg"", ""data/raw/streetsurfacevis/s_1024/1001712924422413.jpg"", ""data/raw/streetsurfacevis/s_1024/1004846316926785.jpg"", ""data/raw/streetsurfacevis/s_1024/1005023573994774.jpg"", ""data/raw/streetsurfacevis/s_1024/1005080053540184.jpg""]"
3,1343,"{""asphalt"": 0.0074, ""paving_stones"": 0.0313, ""sett"": 0.9613}","{""2"": 0.0871, ""3"": 0.5153, ""4"": 0.3976}",sett,3,"[""data/raw/streetsurfacevis/s_1024/1003958393553079.jpg"", ""data/raw/streetsurfacevis/s_1024/1006550843268016.jpg"", ""data/raw/streetsurfacevis/s_1024/100672902913764.jpg"", ""data/raw/streetsurfacevis/s_1024/1008262863360384.jpg"", ""data/raw/streetsurfacevis/s_1024/1010095769830403.jpg""]"
4,906,"{""asphalt"": 0.0066, ""concrete"": 0.0055, ""paving_stones"": 0.0011, ""unpaved"": 0.9868}","{""2"": 0.0022, ""3"": 0.3113, ""4"": 0.3698, ""5"": 0.3168}",unpaved,4,"[""data/raw/streetsurfacevis/s_1024/1001349260556407.jpg"", ""data/raw/streetsurfacevis/s_1024/1009829936396350.jpg"", ""data/raw/streetsurfacevis/s_1024/1015080322565099.jpg"", ""data/raw/streetsurfacevis/s_1024/1015672775631247.jpg"", ""data/raw/streetsurfacevis/s_1024/1015823332898174.jpg""]"
