cluster,size,surface_type_distribution,quality_distribution,top_surface_type,top_quality,examples
0,2464,"{""asphalt"": 0.7256, ""concrete"": 0.1453, ""paving_stones"": 0.0653, ""sett"": 0.056, ""unpaved"": 0.0077}","{""1"": 0.1554, ""2"": 0.446, ""3"": 0.306, ""4"": 0.0921, ""5"": 0.0004}",asphalt,2,"[""data/raw/streetsurfacevis/s_1024/1000927687276860.jpg"", ""data/raw/streetsurfacevis/s_1024/1001419624308587.jpg"", ""data/raw/streetsurfacevis/s_1024/1001853784055707.jpg"", ""data/raw/streetsurfacevis/s_1024/1002484893825364.jpg"", ""data/raw/streetsurfacevis/s_1024/1002859683992939.jpg""]"
1,1998,"{""asphalt"": 0.2573, ""concrete"": 0.1101, ""paving_stones"": 0.1557, ""sett"": 0.036, ""unpaved"": 0.4409}","{""1"": 0.0896, ""2"": 0.2002, ""3"": 0.3268, ""4"": 0.2407, ""5"": 0.1426}",unpaved,3,"[""data/raw/streetsurfacevis/s_1024/1001349260556407.jpg"", ""data/raw/streetsurfacevis/s_1024/1002131400702235.jpg"", ""data/raw/streetsurfacevis/s_1024/1009384503551676.jpg"", ""data/raw/streetsurfacevis/s_1024/1009829936396350.jpg"", ""data/raw/streetsurfacevis/s_1024/1015080322565099.jpg""]"
2,1044,"{""asphalt"": 0.7787, ""concrete"": 0.1973, ""paving_stones"": 0.0172, ""sett"": 0.0057, ""unpaved"": 0.001}","{""1"": 0.4799, ""2"": 0.3803, ""3"": 0.114, ""4"": 0.0259}",asphalt,1,"[""data/raw/streetsurfacevis/s_1024/1004846316926785.jpg"", ""data/raw/streetsurfacevis/s_1024/1005023573994774.jpg"", ""data/raw/streetsurfacevis/s_1024/1005162660302046.jpg"", ""data/raw/streetsurfacevis/s_1024/1006308606568902.jpg"", ""data/raw/streetsurfacevis/s_1024/1009149569621856.jpg""]"
3,1169,"{""asphalt"": 0.0317, ""concrete"": 0.006, ""paving_stones"": 0.1223, ""sett"": 0.8375, ""unpaved"": 0.0026}","{""1"": 0.0274, ""2"": 0.1326, ""3"": 0.4696, ""4"": 0.3704}",sett,3,"[""data/raw/streetsurfacevis/s_1024/1003958393553079.jpg"", ""data/raw/streetsurfacevis/s_1024/1006550843268016.jpg"", ""data/raw/streetsurfacevis/s_1024/100672902913764.jpg"", ""data/raw/streetsurfacevis/s_1024/1010095769830403.jpg"", ""data/raw/streetsurfacevis/s_1024/1010335209717850.jpg""]"
4,1671,"{""asphalt"": 0.0311, ""concrete"": 0.0987, ""paving_stones"": 0.7726, ""sett"": 0.0814, ""unpaved"": 0.0162}","{""1"": 0.219, ""2"": 0.4865, ""3"": 0.2561, ""4"": 0.0377, ""5"": 0.0006}",paving_stones,2,"[""data/raw/streetsurfacevis/s_1024/1001712924422413.jpg"", ""data/raw/streetsurfacevis/s_1024/1007047186907473.jpg"", ""data/raw/streetsurfacevis/s_1024/1007416500028468.jpg"", ""data/raw/streetsurfacevis/s_1024/1008262863360384.jpg"", ""data/raw/streetsurfacevis/s_1024/1015866312652986.jpg""]"
