cluster,size,surface_type_distribution,quality_distribution,top_surface_type,top_quality,examples
0,1979,"{""asphalt"": 0.0076, ""concrete"": 0.0167, ""paving_stones"": 0.9555, ""sett"": 0.0202}","{""1"": 0.1844, ""2"": 0.5169, ""3"": 0.2638, ""4"": 0.0349}",paving_stones,2,"[""data/raw/streetsurfacevis/s_1024/1007047186907473.jpg"", ""data/raw/streetsurfacevis/s_1024/1007416500028468.jpg"", ""data/raw/streetsurfacevis/s_1024/1015866312652986.jpg"", ""data/raw/streetsurfacevis/s_1024/1017666249120605.jpg"", ""data/raw/streetsurfacevis/s_1024/1019905076035678.jpg""]"
1,800,"{""asphalt"": 0.0375, ""concrete"": 0.96, ""paving_stones"": 0.0012, ""unpaved"": 0.0012}","{""1"": 0.3125, ""2"": 0.3775, ""3"": 0.2612, ""4"": 0.0488}",concrete,2,"[""data/raw/streetsurfacevis/s_1024/1000927687276860.jpg"", ""data/raw/streetsurfacevis/s_1024/1001712924422413.jpg"", ""data/raw/streetsurfacevis/s_1024/1004846316926785.jpg"", ""data/raw/streetsurfacevis/s_1024/1005023573994774.jpg"", ""data/raw/streetsurfacevis/s_1024/1005080053540184.jpg""]"
2,1318,"{""asphalt"": 0.0053, ""concrete"": 0.0015, ""paving_stones"": 0.0152, ""sett"": 0.9765, ""unpaved"": 0.0015}","{""2"": 0.0842, ""3"": 0.5137, ""4"": 0.4021}",sett,3,"[""data/raw/streetsurfacevis/s_1024/1003958393553079.jpg"", ""data/raw/streetsurfacevis/s_1024/1006550843268016.jpg"", ""data/raw/streetsurfacevis/s_1024/100672902913764.jpg"", ""data/raw/streetsurfacevis/s_1024/1008262863360384.jpg"", ""data/raw/streetsurfacevis/s_1024/1010095769830403.jpg""]"
3,1091,"{""asphalt"": 0.1027, ""concrete"": 0.0367, ""paving_stones"": 0.0101, ""sett"": 0.0027, ""unpaved"": 0.8478}","{""1"": 0.0073, ""2"": 0.0302, ""3"": 0.3382, ""4"": 0.3611, ""5"": 0.2631}",unpaved,4,"[""data/raw/streetsurfacevis/s_1024/1001349260556407.jpg"", ""data/raw/streetsurfacevis/s_1024/1009829936396350.jpg"", ""data/raw/streetsurfacevis/s_1024/1011930292742609.jpg"", ""data/raw/streetsurfacevis/s_1024/1015080322565099.jpg"", ""data/raw/streetsurfacevis/s_1024/1015672775631247.jpg""]"
4,3158,"{""asphalt"": 0.9626, ""concrete"": 0.0358, ""paving_stones"": 0.0003, ""sett"": 0.0003, ""unpaved"": 0.0009}","{""1"": 0.2654, ""2"": 0.4417, ""3"": 0.2299, ""4"": 0.063}",asphalt,2,"[""data/raw/streetsurfacevis/s_1024/1001419624308587.jpg"", ""data/raw/streetsurfacevis/s_1024/1001853784055707.jpg"", ""data/raw/streetsurfacevis/s_1024/1002131400702235.jpg"", ""data/raw/streetsurfacevis/s_1024/1002484893825364.jpg"", ""data/raw/streetsurfacevis/s_1024/1002859683992939.jpg""]"
