cluster,size,surface_type_distribution,quality_distribution,top_surface_type,top_quality,examples
0,1520,"{""asphalt"": 0.1908, ""concrete"": 0.0289, ""paving_stones"": 0.1395, ""sett"": 0.6375, ""unpaved"": 0.0033}","{""1"": 0.0618, ""2"": 0.2316, ""3"": 0.4191, ""4"": 0.2875}",sett,3,"[""data/raw/streetsurfacevis/s_1024/1001419624308587.jpg"", ""data/raw/streetsurfacevis/s_1024/1002484893825364.jpg"", ""data/raw/streetsurfacevis/s_1024/1002859683992939.jpg"", ""data/raw/streetsurfacevis/s_1024/1003958393553079.jpg"", ""data/raw/streetsurfacevis/s_1024/1006550843268016.jpg""]"
1,946,"{""asphalt"": 0.8626, ""concrete"": 0.1195, ""paving_stones"": 0.0095, ""sett"": 0.0053, ""unpaved"": 0.0032}","{""1"": 0.4387, ""2"": 0.3975, ""3"": 0.13, ""4"": 0.0328, ""5"": 0.0011}",asphalt,1,"[""data/raw/streetsurfacevis/s_1024/1005023573994774.jpg"", ""data/raw/streetsurfacevis/s_1024/1005162660302046.jpg"", ""data/raw/streetsurfacevis/s_1024/1006308606568902.jpg"", ""data/raw/streetsurfacevis/s_1024/1009149569621856.jpg"", ""data/raw/streetsurfacevis/s_1024/1011930292742609.jpg""]"
2,1619,"{""asphalt"": 0.5911, ""concrete"": 0.1365, ""paving_stones"": 0.1482, ""sett"": 0.1081, ""unpaved"": 0.0161}","{""1"": 0.1062, ""2"": 0.3984, ""3"": 0.3564, ""4"": 0.1365, ""5"": 0.0025}",asphalt,2,"[""data/raw/streetsurfacevis/s_1024/1000927687276860.jpg"", ""data/raw/streetsurfacevis/s_1024/1005080053540184.jpg"", ""data/raw/streetsurfacevis/s_1024/1007047186907473.jpg"", ""data/raw/streetsurfacevis/s_1024/1009680906614776.jpg"", ""data/raw/streetsurfacevis/s_1024/1011003429647125.jpg""]"
3,1952,"{""asphalt"": 0.2649, ""concrete"": 0.1009, ""paving_stones"": 0.1614, ""sett"": 0.0312, ""unpaved"": 0.4416}","{""1"": 0.0871, ""2"": 0.2059, ""3"": 0.3217, ""4"": 0.2408, ""5"": 0.1445}",unpaved,3,"[""data/raw/streetsurfacevis/s_1024/1001349260556407.jpg"", ""data/raw/streetsurfacevis/s_1024/1002131400702235.jpg"", ""data/raw/streetsurfacevis/s_1024/1004846316926785.jpg"", ""data/raw/streetsurfacevis/s_1024/1009384503551676.jpg"", ""data/raw/streetsurfacevis/s_1024/1009829936396350.jpg""]"
4,2309,"{""asphalt"": 0.2702, ""concrete"": 0.165, ""paving_stones"": 0.4972, ""sett"": 0.0524, ""unpaved"": 0.0152}","{""1"": 0.2642, ""2"": 0.4716, ""3"": 0.233, ""4"": 0.0312}",paving_stones,2,"[""data/raw/streetsurfacevis/s_1024/1001712924422413.jpg"", ""data/raw/streetsurfacevis/s_1024/1001853784055707.jpg"", ""data/raw/streetsurfacevis/s_1024/1007416500028468.jpg"", ""data/raw/streetsurfacevis/s_1024/1008262863360384.jpg"", ""data/raw/streetsurfacevis/s_1024/1015866312652986.jpg""]"
